group,name,url,type,notes,geo_blocked,working,vpn_suggestion
brazil,11,http://selpro1348.procergs.com.br:1935/tve/stve/playlist.m3u8,hls,"[>](http://selpro1348.procergs.com.br:1935/tve/stve/playlist.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/commons/c/c2/Logotipo_da_TVE_RS.png""/> TVERS.br",False,False,
brazil,12,https://player-tvcultura.stream.uol.com.br/live/tvcultura.m3u8,hls,"[>](https://player-tvcultura.stream.uol.com.br/live/tvcultura.m3u8) <img height=""20"" src=""https://upload.wikimedia.org/wikipedia/commons/8/82/Cultura_logo_2013.svg""/> TVCultura.br",False,True,
canada,1,https://bozztv.com/teleyupp1/teleup-ydcl2V1MVC/playlist.m3u8,hls,"[>](https://bozztv.com/teleyupp1/teleup-ydcl2V1MVC/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/H5yEbxf.png""/> CBCTDT.ca",False,False,
canada,2,https://bozztv.com/teleyupp1/teleup-iSykLSKMFr/tracks-v1a1/mono.m3u8,hls,"[>](https://bozztv.com/teleyupp1/teleup-iSykLSKMFr/tracks-v1a1/mono.m3u8) <img height=""20"" src=""https://i.imgur.com/BlFNlHz.png""/>",False,False,
canada,3,https://bozztv.com/teleyupp1/teleup-zxsJFt6VvY/playlist.m3u8,hls,"[>](https://bozztv.com/teleyupp1/teleup-zxsJFt6VvY/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/qOutOWN.png""/>",False,False,
canada,4,https://d128o1k7zh3htz.cloudfront.net/out/v1/74a58360a3734f97b74ba439bc678044/index.m3u8,hls,"[>](https://d128o1k7zh3htz.cloudfront.net/out/v1/74a58360a3734f97b74ba439bc678044/index.m3u8) <img height=""20"" src=""https://i.imgur.com/2CxLO4H.png""/>",False,False,
canada,5,https://dfmjr9irb1dl5.cloudfront.net/out/v1/454010ff309e4963a087f5802856e346/index.m3u8,hls,"[>](https://dfmjr9irb1dl5.cloudfront.net/out/v1/454010ff309e4963a087f5802856e346/index.m3u8) <img height=""20"" src=""https://i.imgur.com/2CxLO4H.png""/>",False,False,
canada,6,https://da7sdtkzly6qj.cloudfront.net/out/v1/b317f6c10f2e493993bd2b5314df1c7c/index_1.m3u8,hls,"[>](https://da7sdtkzly6qj.cloudfront.net/out/v1/b317f6c10f2e493993bd2b5314df1c7c/index_1.m3u8) <img height=""20"" src=""https://i.imgur.com/2CxLO4H.png""/>",False,False,
canada,8,https://bozztv.com/teleyupp1/teleup-OMZsmYVUMp/playlist.m3u8,hls,"[>](https://bozztv.com/teleyupp1/teleup-OMZsmYVUMp/playlist.m3u8) <img height=""20"" src=""https://i.imgur.com/PkBPPcL.png""/>",False,False,
canada,12,http://152.89.62.111:8080/nXyAiP3DNp/QgOuvocpGv/223012,other,"[>](http://152.89.62.111:8080/nXyAiP3DNp/QgOuvocpGv/223012) <img height=""20"" src=""https://i.imgur.com/b8W3Aah.png""/>",False,False,
